id,branch,train_mask,test_mask
223,,False,True
224,EEE,True,False
225,EEE,True,False
226,EEE,True,False
227,EEE,True,False
228,EEE,True,False
229,EEE,True,False
230,CSE,True,False
231,ECE,True,False
232,ECE,True,False
233,CSE,True,False
234,CSE,True,False
235,ECE,True,False
236,EEE,True,False
237,,False,True
238,EEE,True,False
239,,False,True
240,,False,True
241,,False,True
242,EEE,True,False
243,ECE,True,False
244,CSE,True,False
245,,False,True
246,,False,True
247,EEE,True,False
248,CSE,True,False
249,EEE,True,False
250,ECE,True,False
251,EEE,True,False
252,CSE,True,False
253,,False,True
254,ECE,True,False
255,CSE,True,False
256,EEE,True,False
257,CSE,True,False
258,,False,True
259,EEE,True,False
260,,False,True
261,CSE,True,False
262,CSE,True,False
263,ECE,True,False
264,EEE,True,False
265,EEE,True,False
266,,False,True
267,,False,True
268,,False,True
269,CSE,True,False
270,,False,True
271,,False,True
272,,False,True
273,ECE,True,False
274,,False,True
275,ECE,True,False
276,ECE,True,False
277,ECE,True,False
278,EEE,True,False
279,ECE,True,False
280,ECE,True,False
281,EEE,True,False
282,,False,True
283,EEE,True,False
284,ECE,True,False
285,CSE,True,False
286,EEE,True,False
287,EEE,True,False
288,EEE,True,False
289,EEE,True,False
290,ECE,True,False
291,ECE,True,False
292,EEE,True,False
293,EEE,True,False
294,,False,True
295,,False,True
296,CSE,True,False
297,CSE,True,False
298,EEE,True,False
299,ECE,True,False
300,ECE,True,False
301,CSE,True,False
302,ECE,True,False
303,EEE,True,False
304,ECE,True,False
305,CSE,True,False
306,EEE,True,False
307,,False,True
308,,False,True
309,CSE,True,False
310,ECE,True,False
311,EEE,True,False
312,,False,True
313,ECE,True,False
314,,False,True
315,EEE,True,False
316,EEE,True,False
317,EEE,True,False
318,CSE,True,False
319,ECE,True,False
320,EEE,True,False
321,ECE,True,False
322,EEE,True,False
323,CSE,True,False
324,ECE,True,False
325,ECE,True,False
326,EEE,True,False
327,ECE,True,False
328,CSE,True,False
329,ECE,True,False
330,EEE,True,False
331,EEE,True,False
332,ECE,True,False
333,EEE,True,False
334,CSE,True,False
335,ECE,True,False
336,,False,True
337,EEE,True,False
338,EEE,True,False
339,EEE,True,False
340,ECE,True,False
341,EEE,True,False
342,EEE,True,False
343,,False,True
344,EEE,True,False
345,EEE,True,False
346,,False,True
347,ECE,True,False
348,EEE,True,False
349,EEE,True,False
350,,False,True
351,ECE,True,False
352,,False,True
353,EEE,True,False
354,ECE,True,False
355,ECE,True,False
356,ECE,True,False
357,ECE,True,False
358,,False,True
359,,False,True
360,ECE,True,False
361,EEE,True,False
362,EEE,True,False
363,CSE,True,False
364,CSE,True,False
365,EEE,True,False
366,ECE,True,False
367,EEE,True,False
368,EEE,True,False
369,ECE,True,False
370,ECE,True,False
371,ECE,True,False
372,CSE,True,False
373,ECE,True,False
374,EEE,True,False
375,,False,True
376,ECE,True,False
377,ECE,True,False
378,EEE,True,False
379,ECE,True,False
380,,False,True
381,ECE,True,False
382,,False,True
383,CSE,True,False
384,ECE,True,False
385,CSE,True,False
386,EEE,True,False
387,EEE,True,False
388,EEE,True,False
389,ECE,True,False
390,,False,True
391,ECE,True,False
392,ECE,True,False
393,ECE,True,False
394,,False,True
395,EEE,True,False
396,,False,True
397,,False,True
398,CSE,True,False
399,ECE,True,False
400,,False,True
401,,False,True
402,,False,True
403,ECE,True,False
404,ECE,True,False
405,,False,True
406,CSE,True,False
407,ECE,True,False
408,,False,True
409,CSE,True,False
410,EEE,True,False
411,,False,True
412,EEE,True,False
413,,False,True
414,,False,True
415,CSE,True,False
416,ECE,True,False
417,ECE,True,False
418,,False,True
419,EEE,True,False
420,EEE,True,False
421,EEE,True,False
422,EEE,True,False
423,,False,True
424,EEE,True,False
425,ECE,True,False
426,ECE,True,False
427,EEE,True,False
428,ECE,True,False
429,CSE,True,False
430,ECE,True,False
431,,False,True
432,ECE,True,False
433,ECE,True,False
434,ECE,True,False
435,ECE,True,False
436,EEE,True,False
437,CSE,True,False
438,ECE,True,False
439,,False,True
440,ECE,True,False
441,EEE,True,False
442,EEE,True,False
443,EEE,True,False
444,EEE,True,False
445,,False,True
446,,False,True
447,ECE,True,False
448,,False,True
449,CSE,True,False
450,EEE,True,False
451,ECE,True,False
452,ECE,True,False
453,CSE,True,False
454,CSE,True,False
455,,False,True
456,EEE,True,False
457,EEE,True,False
458,EEE,True,False
459,EEE,True,False
460,ECE,True,False
461,ECE,True,False
462,EEE,True,False
463,EEE,True,False
464,EEE,True,False
465,ECE,True,False
466,,False,True
467,ECE,True,False
468,EEE,True,False
469,EEE,True,False
470,CSE,True,False
471,EEE,True,False
472,EEE,True,False
473,EEE,True,False
474,EEE,True,False
475,EEE,True,False
476,CSE,True,False
477,ECE,True,False
478,,False,True
479,EEE,True,False
480,CSE,True,False
481,EEE,True,False
482,CSE,True,False
483,EEE,True,False
484,CSE,True,False
485,EEE,True,False
486,ECE,True,False
487,ECE,True,False
488,,False,True
489,EEE,True,False
490,ECE,True,False
491,,False,True
492,CSE,True,False
493,,False,True
494,ECE,True,False
495,CSE,True,False
496,ECE,True,False
497,EEE,True,False
498,,False,True
499,ECE,True,False
500,EEE,True,False
501,CSE,True,False
502,,False,True
503,,False,True
504,EEE,True,False
505,EEE,True,False
506,EEE,True,False
507,CSE,True,False
508,EEE,True,False
509,CSE,True,False
510,,False,True
511,ECE,True,False
512,EEE,True,False
513,ECE,True,False
514,,False,True
515,EEE,True,False
516,CSE,True,False
517,CSE,True,False
518,ECE,True,False
519,,False,True
520,,False,True
521,ECE,True,False
522,ECE,True,False
523,EEE,True,False
524,ECE,True,False
525,,False,True
526,ECE,True,False
527,CSE,True,False
528,,False,True
529,CSE,True,False
530,,False,True
531,,False,True
532,EEE,True,False
533,EEE,True,False
534,,False,True
535,EEE,True,False
536,CSE,True,False
537,CSE,True,False
538,ECE,True,False
539,CSE,True,False
540,ECE,True,False
541,ECE,True,False
542,CSE,True,False
543,ECE,True,False
544,ECE,True,False
545,EEE,True,False
546,ECE,True,False
547,ECE,True,False
548,EEE,True,False
549,CSE,True,False
550,CSE,True,False
551,,False,True
552,,False,True
553,CSE,True,False
554,,False,True
555,ECE,True,False
556,ECE,True,False
557,EEE,True,False
558,,False,True
559,,False,True
560,EEE,True,False
561,ECE,True,False
562,ECE,True,False
563,EEE,True,False
564,ECE,True,False
565,ECE,True,False
566,EEE,True,False
567,,False,True
568,EEE,True,False
569,ECE,True,False
570,EEE,True,False
571,ECE,True,False
572,,False,True
573,ECE,True,False
574,,False,True
575,CSE,True,False
576,ECE,True,False
577,CSE,True,False
578,EEE,True,False
579,EEE,True,False
580,EEE,True,False
581,,False,True
582,CSE,True,False
583,,False,True
584,ECE,True,False
585,,False,True
586,ECE,True,False
587,CSE,True,False
588,ECE,True,False
589,EEE,True,False
590,,False,True
591,CSE,True,False
592,ECE,True,False
593,EEE,True,False
594,EEE,True,False
595,CSE,True,False
596,EEE,True,False
597,EEE,True,False
598,,False,True
599,EEE,True,False
600,,False,True
601,EEE,True,False
602,,False,True
603,EEE,True,False
604,CSE,True,False
605,,False,True
606,EEE,True,False
607,ECE,True,False
608,,False,True
609,,False,True
610,ECE,True,False
611,EEE,True,False
612,ECE,True,False
613,ECE,True,False
614,,False,True
615,ECE,True,False
616,,False,True
617,EEE,True,False
618,CSE,True,False
619,CSE,True,False
620,CSE,True,False
621,ECE,True,False
622,EEE,True,False
623,CSE,True,False
624,EEE,True,False
625,,False,True
626,,False,True
627,,False,True
628,EEE,True,False
629,EEE,True,False
630,EEE,True,False
631,EEE,True,False
632,CSE,True,False
633,,False,True
634,CSE,True,False
635,ECE,True,False
636,CSE,True,False
637,ECE,True,False
638,ECE,True,False
639,EEE,True,False
640,ECE,True,False
641,,False,True
642,ECE,True,False
643,CSE,True,False
644,CSE,True,False
645,,False,True
646,,False,True
647,ECE,True,False
648,ECE,True,False
649,ECE,True,False
650,ECE,True,False
651,ECE,True,False
652,,False,True
653,EEE,True,False
654,ECE,True,False
655,ECE,True,False
656,,False,True
657,CSE,True,False
658,EEE,True,False
659,ECE,True,False
660,EEE,True,False
661,CSE,True,False
662,ECE,True,False
663,,False,True
664,ECE,True,False
665,,False,True
666,CSE,True,False
667,EEE,True,False
668,ECE,True,False
669,EEE,True,False
670,EEE,True,False
671,ECE,True,False
672,,False,True
673,ECE,True,False
674,EEE,True,False
675,ECE,True,False
676,,False,True
677,CSE,True,False
678,ECE,True,False
679,ECE,True,False
680,ECE,True,False
681,EEE,True,False
682,EEE,True,False
683,ECE,True,False
684,CSE,True,False
685,CSE,True,False
686,ECE,True,False
687,EEE,True,False
688,,False,True
689,ECE,True,False
690,CSE,True,False
691,EEE,True,False
692,ECE,True,False
693,CSE,True,False
694,EEE,True,False
695,CSE,True,False
696,ECE,True,False
697,,False,True
698,ECE,True,False
699,,False,True
700,EEE,True,False
701,,False,True
702,,False,True
703,EEE,True,False
704,ECE,True,False
705,ECE,True,False
706,CSE,True,False
707,EEE,True,False
708,ECE,True,False
709,EEE,True,False
710,ECE,True,False
711,EEE,True,False
712,ECE,True,False
713,ECE,True,False
714,ECE,True,False
715,CSE,True,False
716,,False,True
717,ECE,True,False
718,ECE,True,False
719,,False,True
720,CSE,True,False
721,ECE,True,False
722,CSE,True,False
723,ECE,True,False
724,CSE,True,False
725,ECE,True,False
726,EEE,True,False
727,EEE,True,False
728,EEE,True,False
729,CSE,True,False
730,EEE,True,False
731,ECE,True,False
732,EEE,True,False
733,EEE,True,False
734,ECE,True,False
735,EEE,True,False
736,ECE,True,False
737,CSE,True,False
738,ECE,True,False
739,ECE,True,False
740,ECE,True,False
741,ECE,True,False
742,CSE,True,False
743,,False,True
744,,False,True
745,CSE,True,False
746,ECE,True,False
747,ECE,True,False
748,ECE,True,False
749,EEE,True,False
750,EEE,True,False
751,CSE,True,False
752,CSE,True,False
753,EEE,True,False
754,EEE,True,False
755,CSE,True,False
756,ECE,True,False
757,ECE,True,False
758,EEE,True,False
759,ECE,True,False
760,,False,True
761,,False,True
762,ECE,True,False
763,ECE,True,False
764,EEE,True,False
765,EEE,True,False
766,,False,True
767,EEE,True,False
768,ECE,True,False
769,ECE,True,False
770,ECE,True,False
771,ECE,True,False
772,EEE,True,False
773,ECE,True,False
774,EEE,True,False
775,CSE,True,False
776,EEE,True,False
777,EEE,True,False
778,EEE,True,False
779,EEE,True,False
780,EEE,True,False
781,ECE,True,False
782,ECE,True,False
783,ECE,True,False
784,ECE,True,False
785,ECE,True,False
786,EEE,True,False
787,CSE,True,False
788,EEE,True,False
789,EEE,True,False
790,CSE,True,False
791,EEE,True,False
792,CSE,True,False
793,ECE,True,False
794,ECE,True,False
795,ECE,True,False
796,ECE,True,False
797,ECE,True,False
798,ECE,True,False
799,EEE,True,False
800,ECE,True,False
801,ECE,True,False
802,,False,True
803,EEE,True,False
804,,False,True
805,EEE,True,False
806,CSE,True,False
807,,False,True
808,,False,True
809,CSE,True,False
810,ECE,True,False
811,,False,True
812,EEE,True,False
813,CSE,True,False
814,,False,True
815,EEE,True,False
816,CSE,True,False
817,,False,True
818,ECE,True,False
819,EEE,True,False
820,CSE,True,False
821,,False,True
822,ECE,True,False
823,ECE,True,False
824,,False,True
825,EEE,True,False
826,ECE,True,False
827,EEE,True,False
828,ECE,True,False
829,,False,True
830,EEE,True,False
831,,False,True
832,ECE,True,False
833,ECE,True,False
834,,False,True
835,CSE,True,False
836,ECE,True,False
837,ECE,True,False
838,EEE,True,False
839,ECE,True,False
840,,False,True
841,ECE,True,False
842,EEE,True,False
843,CSE,True,False
844,CSE,True,False
845,EEE,True,False
846,EEE,True,False
847,,False,True
848,ECE,True,False
849,EEE,True,False
850,,False,True
851,EEE,True,False
852,ECE,True,False
853,ECE,True,False
854,EEE,True,False
855,ECE,True,False
856,ECE,True,False
857,,False,True
858,,False,True
859,EEE,True,False
860,EEE,True,False
861,,False,True
862,EEE,True,False
863,,False,True
864,ECE,True,False
865,EEE,True,False
866,,False,True
867,CSE,True,False
868,EEE,True,False
869,,False,True
870,CSE,True,False
871,EEE,True,False
872,ECE,True,False
873,EEE,True,False
874,EEE,True,False
875,ECE,True,False
876,EEE,True,False
877,,False,True
878,ECE,True,False
879,,False,True
880,EEE,True,False
881,EEE,True,False
882,CSE,True,False
883,ECE,True,False
884,ECE,True,False
885,ECE,True,False
886,EEE,True,False
887,EEE,True,False
888,ECE,True,False
889,ECE,True,False
890,ECE,True,False
891,CSE,True,False
892,,False,True
893,EEE,True,False
894,,False,True
895,,False,True
896,CSE,True,False
897,,False,True
898,ECE,True,False
899,ECE,True,False
900,CSE,True,False
901,,False,True
902,EEE,True,False
903,,False,True
904,ECE,True,False
905,,False,True
906,EEE,True,False
907,CSE,True,False
908,,False,True
909,EEE,True,False
910,ECE,True,False
911,EEE,True,False
912,ECE,True,False
913,CSE,True,False
914,ECE,True,False
915,,False,True
916,EEE,True,False
917,EEE,True,False
918,EEE,True,False
919,,False,True
920,ECE,True,False
921,ECE,True,False
922,ECE,True,False
923,ECE,True,False
924,,False,True
925,ECE,True,False
926,EEE,True,False
927,CSE,True,False
928,ECE,True,False
929,EEE,True,False
930,EEE,True,False
931,EEE,True,False
932,EEE,True,False
933,EEE,True,False
934,ECE,True,False
935,,False,True
936,CSE,True,False
937,CSE,True,False
938,CSE,True,False
939,,False,True
940,CSE,True,False
941,ECE,True,False
942,ECE,True,False
943,,False,True
944,EEE,True,False
945,ECE,True,False
946,ECE,True,False
947,ECE,True,False
948,EEE,True,False
949,EEE,True,False
950,,False,True
951,EEE,True,False
952,ECE,True,False
953,EEE,True,False
954,ECE,True,False
955,ECE,True,False
956,EEE,True,False
957,,False,True
958,ECE,True,False
959,EEE,True,False
960,ECE,True,False
961,ECE,True,False
962,ECE,True,False
963,EEE,True,False
964,ECE,True,False
965,ECE,True,False
966,CSE,True,False
967,ECE,True,False
968,ECE,True,False
969,EEE,True,False
970,EEE,True,False
971,ECE,True,False
972,,False,True
973,EEE,True,False
974,ECE,True,False
975,ECE,True,False
976,ECE,True,False
977,,False,True
978,EEE,True,False
979,,False,True
980,ECE,True,False
981,ECE,True,False
982,EEE,True,False
983,ECE,True,False
984,,False,True
985,EEE,True,False
986,EEE,True,False
987,CSE,True,False
988,ECE,True,False
989,,False,True
990,EEE,True,False
991,ECE,True,False
992,ECE,True,False
993,,False,True
994,ECE,True,False
995,ECE,True,False
996,CSE,True,False
997,ECE,True,False
998,EEE,True,False
999,ECE,True,False
1000,,False,True
1001,ECE,True,False
1002,ECE,True,False
1003,,False,True
1004,CSE,True,False
1005,ECE,True,False
1006,,False,True
1007,EEE,True,False
1008,ECE,True,False
1009,CSE,True,False
1010,EEE,True,False
1011,CSE,True,False
1012,EEE,True,False
1013,EEE,True,False
1014,EEE,True,False
1015,EEE,True,False
1016,ECE,True,False
1017,EEE,True,False
1018,ECE,True,False
1019,ECE,True,False
1020,EEE,True,False
1021,ECE,True,False
1022,CSE,True,False
1023,,False,True
1024,,False,True
1025,EEE,True,False
1026,EEE,True,False
1027,EEE,True,False
1028,EEE,True,False
1029,EEE,True,False
1030,EEE,True,False
1031,,False,True
1032,ECE,True,False
1033,,False,True
1034,CSE,True,False
1035,,False,True
1036,CSE,True,False
1037,EEE,True,False
1038,ECE,True,False
1039,,False,True
1040,EEE,True,False
1041,,False,True
1042,CSE,True,False
1043,EEE,True,False
1044,ECE,True,False
1045,EEE,True,False
1046,EEE,True,False
1047,EEE,True,False
1048,EEE,True,False
1049,EEE,True,False
1050,EEE,True,False
1051,ECE,True,False
1052,ECE,True,False
1053,ECE,True,False
1054,ECE,True,False
1055,ECE,True,False
1056,ECE,True,False
1057,ECE,True,False
1058,EEE,True,False
1059,ECE,True,False
1060,,False,True
1061,EEE,True,False
1062,ECE,True,False
1063,ECE,True,False
1064,ECE,True,False
1065,ECE,True,False
1066,EEE,True,False
1067,ECE,True,False
1068,ECE,True,False
1069,CSE,True,False
1070,ECE,True,False
1071,ECE,True,False
1072,ECE,True,False
1073,,False,True
1074,,False,True
1075,CSE,True,False
1076,EEE,True,False
1077,ECE,True,False
1078,EEE,True,False
1079,CSE,True,False
1080,ECE,True,False
1081,EEE,True,False
1082,EEE,True,False
1083,ECE,True,False
1084,,False,True
1085,CSE,True,False
1086,CSE,True,False
1087,EEE,True,False
1088,ECE,True,False
1089,ECE,True,False
1090,ECE,True,False
1091,ECE,True,False
1092,,False,True
1093,,False,True
1094,,False,True
1095,EEE,True,False
1096,,False,True
1097,,False,True
1098,,False,True
1099,,False,True
1100,ECE,True,False
1101,CSE,True,False
1102,,False,True
1103,CSE,True,False
1104,,False,True
1105,CSE,True,False
1106,,False,True
1107,EEE,True,False
1108,,False,True
1109,CSE,True,False
1110,ECE,True,False
1111,EEE,True,False
1112,EEE,True,False
1113,EEE,True,False
1114,ECE,True,False
1115,CSE,True,False
1116,EEE,True,False
1117,,False,True
1118,ECE,True,False
1119,EEE,True,False
1120,,False,True
1121,ECE,True,False
1122,CSE,True,False
1123,EEE,True,False
1124,EEE,True,False
1125,ECE,True,False
1126,EEE,True,False
1127,CSE,True,False
1128,EEE,True,False
1129,,False,True
1130,ECE,True,False
1131,ECE,True,False
1132,ECE,True,False
1133,ECE,True,False
1134,,False,True
1135,EEE,True,False
1136,CSE,True,False
1137,,False,True
1138,EEE,True,False
1139,ECE,True,False
1140,CSE,True,False
1141,EEE,True,False
1142,EEE,True,False
1143,CSE,True,False
1144,,False,True
1145,ECE,True,False
1146,,False,True
1147,ECE,True,False
1148,CSE,True,False
1149,ECE,True,False
1150,,False,True
1151,,False,True
1152,ECE,True,False
1153,ECE,True,False
1154,EEE,True,False
1155,ECE,True,False
1156,ECE,True,False
1157,ECE,True,False
1158,ECE,True,False
1159,ECE,True,False
1160,EEE,True,False
1161,ECE,True,False
1162,ECE,True,False
1163,CSE,True,False
1164,ECE,True,False
1165,EEE,True,False
1166,EEE,True,False
1167,,False,True
1168,ECE,True,False
1169,EEE,True,False
1170,EEE,True,False
1171,ECE,True,False
1172,,False,True
1173,ECE,True,False
1174,CSE,True,False
1175,ECE,True,False
1176,ECE,True,False
1177,ECE,True,False
1178,CSE,True,False
1179,ECE,True,False
1180,EEE,True,False
1181,,False,True
1182,ECE,True,False
1183,CSE,True,False
1184,EEE,True,False
1185,,False,True
1186,EEE,True,False
1187,ECE,True,False
1188,,False,True
1189,EEE,True,False
1190,ECE,True,False
1191,CSE,True,False
1192,EEE,True,False
1193,,False,True
1194,,False,True
1195,,False,True
1196,EEE,True,False
1197,EEE,True,False
1198,ECE,True,False
1199,EEE,True,False
1200,,False,True
1201,CSE,True,False
1202,ECE,True,False
1203,CSE,True,False
1204,ECE,True,False
1205,,False,True
1206,ECE,True,False
1207,ECE,True,False
1208,,False,True
1209,EEE,True,False
1210,EEE,True,False
1211,EEE,True,False
1212,ECE,True,False
1213,EEE,True,False
1214,,False,True
1215,,False,True
1216,CSE,True,False
1217,ECE,True,False
1218,,False,True
1219,ECE,True,False
1220,ECE,True,False
1221,EEE,True,False
1222,ECE,True,False
1223,,False,True
1224,ECE,True,False
1225,EEE,True,False
1226,ECE,True,False
1227,EEE,True,False
1228,ECE,True,False
1229,CSE,True,False
1230,EEE,True,False
1231,EEE,True,False
1232,EEE,True,False
1233,,False,True
1234,ECE,True,False
1235,EEE,True,False
1236,,False,True
1237,,False,True
1238,EEE,True,False
1239,ECE,True,False
1240,ECE,True,False
1241,ECE,True,False
1242,ECE,True,False
1243,ECE,True,False
1244,EEE,True,False
1245,ECE,True,False
1246,ECE,True,False
1247,ECE,True,False
1248,CSE,True,False
1249,,False,True
1250,EEE,True,False
1251,EEE,True,False
1252,EEE,True,False
1253,EEE,True,False
1254,ECE,True,False
1255,EEE,True,False
1256,,False,True
1257,,False,True
1258,CSE,True,False
1259,,False,True
1260,ECE,True,False
1261,EEE,True,False
1262,CSE,True,False
1263,,False,True
1264,ECE,True,False
1265,,False,True
1266,CSE,True,False
1267,EEE,True,False
1268,CSE,True,False
1269,,False,True
1270,ECE,True,False
1271,EEE,True,False
1272,ECE,True,False
1273,ECE,True,False
1274,ECE,True,False
1275,ECE,True,False
1276,ECE,True,False
1277,EEE,True,False
1278,EEE,True,False
1279,ECE,True,False
1280,EEE,True,False
1281,CSE,True,False
1282,,False,True
1283,ECE,True,False
1284,EEE,True,False
1285,,False,True
1286,,False,True
1287,EEE,True,False
1288,ECE,True,False
1289,,False,True
1290,ECE,True,False
1291,EEE,True,False
1292,EEE,True,False
1293,ECE,True,False
1294,,False,True
1295,ECE,True,False
1296,,False,True
1297,EEE,True,False
1298,EEE,True,False
1299,ECE,True,False
1300,ECE,True,False
1301,ECE,True,False
1302,,False,True
1303,EEE,True,False
1304,ECE,True,False
1305,EEE,True,False
1306,CSE,True,False
1307,EEE,True,False
1308,,False,True
1309,CSE,True,False
1310,CSE,True,False
1311,,False,True
1312,EEE,True,False
1313,,False,True
1314,EEE,True,False
1315,CSE,True,False
1316,ECE,True,False
1317,CSE,True,False
1318,,False,True
1319,EEE,True,False
1320,ECE,True,False
1321,CSE,True,False
1322,ECE,True,False
1323,,False,True
1324,ECE,True,False
1325,EEE,True,False
1326,ECE,True,False
1327,CSE,True,False
1328,ECE,True,False
1329,ECE,True,False
1330,ECE,True,False
1331,CSE,True,False
1332,,False,True
1333,CSE,True,False
1334,,False,True
1335,CSE,True,False
1336,ECE,True,False
1337,ECE,True,False
1338,ECE,True,False
1339,ECE,True,False
1340,CSE,True,False
1341,EEE,True,False
1342,ECE,True,False
1343,ECE,True,False
1344,CSE,True,False
1345,EEE,True,False
1346,,False,True
1347,CSE,True,False
1348,ECE,True,False
1349,,False,True
1350,ECE,True,False
1351,EEE,True,False
1352,CSE,True,False
1353,EEE,True,False
1354,,False,True
1355,EEE,True,False
1356,EEE,True,False
1357,,False,True
1358,CSE,True,False
1359,,False,True
1360,,False,True
1361,,False,True
1362,EEE,True,False
1363,ECE,True,False
1364,CSE,True,False
1365,EEE,True,False
1366,EEE,True,False
1367,EEE,True,False
1368,,False,True
1369,ECE,True,False
1370,ECE,True,False
1371,ECE,True,False
1372,EEE,True,False
1373,ECE,True,False
1374,,False,True
1375,,False,True
1376,EEE,True,False
1377,ECE,True,False
1378,ECE,True,False
1379,ECE,True,False
1380,EEE,True,False
1381,EEE,True,False
1382,EEE,True,False
1383,EEE,True,False
1384,EEE,True,False
1385,,False,True
1386,ECE,True,False
1387,,False,True
1388,ECE,True,False
1389,ECE,True,False
1390,ECE,True,False
1391,ECE,True,False
1392,ECE,True,False
1393,CSE,True,False
1394,EEE,True,False
1395,ECE,True,False
1396,ECE,True,False
1397,ECE,True,False
1398,ECE,True,False
1399,,False,True
1400,EEE,True,False
1401,CSE,True,False
1402,ECE,True,False
1403,CSE,True,False
1404,EEE,True,False
1405,ECE,True,False
1406,EEE,True,False
1407,ECE,True,False
1408,EEE,True,False
1409,EEE,True,False
1410,ECE,True,False
1411,,False,True
1412,CSE,True,False
1413,ECE,True,False
1414,ECE,True,False
1415,EEE,True,False
1416,ECE,True,False
1417,,False,True
1418,,False,True
1419,CSE,True,False
1420,CSE,True,False
1421,,False,True
1422,,False,True
1423,ECE,True,False
1424,EEE,True,False
1425,ECE,True,False
1426,,False,True
1427,EEE,True,False
1428,,False,True
1429,ECE,True,False
1430,EEE,True,False
1431,CSE,True,False
1432,ECE,True,False
1433,,False,True
1434,ECE,True,False
1435,CSE,True,False
